,WT2D,WT2D.1,WT2D.2,WT2D.3,WT2D.4,WT2D.5,WT2D.6,WT2D.7,WT2D.8,WT2D.9,WT2D.10,WT2D.11,WT2D.12,WT2D.13,WT2D.14,WT2D.15,WT2D.16,WT2D.17,WT2D.18,WT2D.19,WT2D.20,WT2D.21,WT2D.22,WT2D.23,WT2D.24,WT2D.25,WT2D.26,WT2D.27,WT2D.28,WT2D.29,WT2D.30,WT2D.31,WT2D.32,WT2D.33,WT2D.34,WT2D.35,WT2D.36,WT2D.37,WT2D.38,WT2D.39,WT2D.40,WT2D.41,WT2D.42,WT2D.43,WT2D.44,WT2D.45,WT2D.46,WT2D.47,WT2D.48,WT2D.49,WT2D.50,WT2D.51,WT2D.52,WT2D.53,WT2D.54,WT2D.55,WT2D.56,WT2D.57,WT2D.58,WT2D.59,WT2D.60,WT2D.61,WT2D.62,WT2D.63,WT2D.64,WT2D.65,WT2D.66,WT2D.67,WT2D.68,WT2D.69,WT2D.70,WT2D.71,WT2D.72,WT2D.73,WT2D.74,WT2D.75,WT2D.76,WT2D.77,WT2D.78,WT2D.79,WT2D.80,WT2D.81,WT2D.82,WT2D.83,WT2D.84,WT2D.85,WT2D.86,WT2D.87,WT2D.88,WT2D.89,WT2D.90,WT2D.91,WT2D.92,WT2D.93,WT2D.94,WT2D.95
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003838401,0,0,0.0015788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50E-06,0.0001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.80E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0,0.0001758,0,0,0,0,0,0,1.25E-05,0,0,0,0,0,0,1.98E-05,0,4.23E-05,0,0,0.0001443,1.98E-05,0,0,1.57E-05,5.70E-06,2.64E-05,2.03E-05,0,0,0,0,5.65E-05,7.90E-06,0,0,0,0,0,0,0,0,0,0,7.50E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_glutamicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001279,0.0002955
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified,0,0,0,0,0,0,0,0,0.0001201,0,0,0,0,0,0.000605,0.0001384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001921,0,0,0,0,0,0,0,0.0002539,0.0001971,0.0002458,0,0,0,0.0001882,0,0,0.0002005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197,0,0,0,0.011157601,0.0004915,0.0007245,0,0,0,0,0.000259,0,0.000982,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia|s__Leifsonia_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria|s__Kocuria_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17E-05,0,0,0.0001649,0,0,0,0,0,0,0,0,0,0,0.0007775,0,0,0,0,0,0,0,3.42E-05,0,0,1.28E-05,0,0,0,0,0,0,0.0008328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003262,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,2.54E-05,6.47E-05,0,0,0,0.0001096,0,0,2.03E-05,0,0,0.0002145,0,2.60E-06,0,0,4.78E-05,0,0,0,3.25E-05,0,0.0006832,0,0,0,0,0.0001247,0,0,0,0,0,5.64E-05,0,0.002094001,0,0,0,0.0001113,0,0,7.60E-05,0.0001043,0,9.40E-06,0,0,2.75E-05,0,0,0,0,0.0013031,0,0,0.0004023,0,0.0001427,0,0.0007027,2.41E-05,0.0002001,4.13E-05,8.94E-05,0.0001066,0,1.86E-05,6.92E-05,0,0.0001108,0.0004387,4.95E-05,0,7.05E-05,0,0,0.000691199,3.66E-05,0,0,0,0,3.22E-05,0,0.010882801,0,0,0,0.0005249,0,0,0.0002482,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified,0,1.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73E-05,0,0.0006474,0,0,0,0,5.42E-05,0.0001699,0,0,0,0,0,0,0,0,0,0,0.0002615,8.55E-05,0,0,0,0,0,0,0,9.23E-05,0,0,0,0,0.0014579,0,0,0.0001873,0,0.0001455,0,0,1.16E-05,0.0001256,1.95E-05,2.34E-05,0,0,5.98E-05,0,0,0.000199,0.0011659,0,0,0,0,0,0,1.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.89E-05,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii,0,0,0,0,0,0,0,0,0.0003729,0,0,0,0,0,0.0007701,0.0004599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001024,0,0,0,0,0,0,0,0,3.45E-05,0,0.0001824,0.0004466,0.000459,0,0,0,0.0002277,0,0,0.00024,0,0,0.0001321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002725,0,6.77E-05,0,0,0,0,1.13E-05,0,0,0,0.031104803,0,0.0001253,0.0002278,0,0,0,0,0,0.001404201,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003382,0,0.000493,0,0,0,0,0,0,0,0,3.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49E-05,0,0,2.99E-05,0,0,0.0001207,0,0.0001782,0,0,0,0,0,0,0,0,5.66E-05,0,0,4.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34E-05,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0.0046438,0.031399097,0.028962991,0.013140708,0.0019219,0.005708801,0.038583604,0.014353197,0.009091902,0.017219698,0.010439191,0.013366599,0.018039602,0,0,0.014407009,0,0.0007368,0.012152006,0,3.48E-05,0.0198031,0.0379456,0.003371801,0,0.012541103,0.0191282,9.12E-05,0.0014809,0,0.020877402,0.061671612,1.74E-05,0.018301991,0.0005377,3.10E-06,0.0011731,0.0127651,0.016465207,0.019594502,0,0.0004586,0.007743903,0.0002245,1.41E-05,0,0,0,0,8.10E-05,0.2180449,2.31E-05,0.075489185,0.028620209,0.034174093,0.008207298,0.0304209,6.58E-05,0.0357327,0,0,0.052417405,0.005590298,0.0168348,0.053966689,0,0.119974976,0.059797012,0.051830979,0.078963176,0.0205232,9.34E-05,0.027297995,0.089202291,5.90E-06,0.0525197,0.023010598,0.031907871,0.019370296,0,2.98E-05,0.013991499,0.147278915,0.018353496,0.013513893,0,0,0,0.044287127,0.026667105,0.008718702,0.30057837,0,0.06562502,0.002305201,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,0,0,0,0,0,0.015220802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026755305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,0,0,0,0,0.0005773,0,0,0,0,0,0,0,0.001122,0,0,0,0,0,0.0008793,0.0008062,0,0,0,0,0,0,0,0,0.0010836,0,0.031260803,0,0,0,0,0,0,7.53E-05,0,0,0,0,2.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002081,0,0,0,0,0,0,0,0,0,0.0026262,0.0027558,0,0,0,0,0,0,0,0,0,0.008141699,0,0,0.001264801,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,0,0,0,0,0.0004775,0,0.013787301,0,0,0,0,0,0.0029535,0,0,0.006655304,0,0,0,0.0003927,0,0.0003172,0.0415407,0,0,0.0007211,0.0265514,0,0.013334503,0,0.011541701,0.031478006,0,0,2.52E-05,0.012136704,0,0,0,0.013505801,0,0.024312495,0,0.000293,0,0,0,0,0.0001979,0,0.0062283,0,0.070699886,0,0.007555598,0.0004283,0,0,0,0,0,0,0,0.0002529,0,0,0.0023098,0.009834702,0.018849292,0.0009685,0,0.033702787,0,0,0,0.0124082,0,0,0,0,0,0,0.012508201,0.0004378,0,0,0,0,0,0,0.0011237,0,0,0.007193002,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008328,0,0,0,0,0,0,0,0,7.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012407,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,0,0,0,0,0.0001579,0,0,0,0,0,0,0.0045812,0,0,0,0,0,0,0.0001866,0,0.0004603,0,0,0,0,0,0,0,0.045844809,0,0.002328,0.016155403,0,0.0002473,0,0,0,0,3.70E-05,0,0,0,5.47E-05,0,0,0.0004412,0,0,0,0,0,0,0,0,0.005487299,0,0.000169,0,0,0,0,0,0.009005797,0,0,0,0,0.002562501,0,0,0,0,0,0,0,0,0,0,0,0,0.0831825,2.59E-05,5.57E-05,0,0.002114399,0,0,0,0,0,0,0,0,1.35E-05,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,0,0,9.07E-05,0,0,0,0.0001122,0,7.36E-05,1.51E-05,0,0.0002149,0,0,0,0.0002842,0,0,0,0,0,0,0.0006165,0,0,0,0,0,0,0,0,0,0,0,6.16E-05,0,0,0,0,0.0002249,0.0004511,0,0.004796602,0,0,0,0,0,0,0,9.55E-05,0,0,0.004162101,0,0,0.0027441,0,0,0,0,2.40E-05,0,0,0,0.0008968,0,0.0004588,0,0,0.0008842,0,0.0004909,0.0030101,0,0,0,0,0,0,0,0,0.0018918,0,0,0.0006028,0.0002399,0,0,0,0,0,0,0.001808501,0,0.0001311
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.0024631,0.013315999,0.044263487,0.005158503,0.015771098,0.012762901,0,0.018300496,0.008217202,0.017178198,0,0.020753398,0.015654802,0,0.01633929,0.025157115,0,0.003089099,0.024440112,0.0003499,0.0697715,0.0036554,0.0165901,0.011214002,0,0.021651404,0.0234184,0.012211099,0.018948204,1.08E-05,0.026700003,0.022173304,0.011845102,0.004553198,0.006265801,0.005632002,0.0042649,0.0058281,0.030355812,0.0032084,0.058326294,0.020844796,0.002513001,0,0.003117501,0.0001133,0.013644804,0,0.058896418,0.0151122,0.0217978,0.0003212,0.007969198,0.008824503,0.028096394,0.027575192,0.0031831,0.069724714,0,0.005504801,0,0.005994101,0.014788096,0.004255,0.007210399,0.007775297,0.003801999,0.010701702,0.02514159,0.0015952,0.0004336,0.022531291,0,0.058601594,0.0045185,0.0137036,0,0.0004562,0,0.04045508,0.0094453,0.001641,0.023088502,0.006276599,0.022801189,0.042014004,0.033813793,0.016232702,0.014116008,0.016364703,0.006340801,0.009850899,0,0.021738707,0.011126604,0.000215
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0,0,0.0005734,0,0,0.0003276,0.005122801,0,0.0003315,0,0,0,0,0,0,0,0,0,0,0,0.1133741,0.0032238,0,0.014943203,0.011084198,0,0,0,0,0,0,0,0,0.0006104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002071801,0.0013598,0,0.0003452,0,0,5.73E-05,0,0.0047529,0,0,0,0,0,6.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010292,0.013965593,0,0,0,0,0,0,0.030155194,0,0.014047108,0,0,0,0,7.68E-05,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004146,0,0,5.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47E-05,0,0,0,0,0,0,0,1.90E-06,0,0,0,0,0,6.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010259,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_unclassified,0,0,0,0,0,0,0,0,0,0,0,7.40E-05,0,0,0,7.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43E-05,0,0,0,0,0,0,0,0,0,0,0.0001101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
